Background,Home,,,,,
Words,Descriptive,ここは悪魔界,,,,
Words,Descriptive,そのお屋敷に住む好奇心旺盛なご令嬢、リナ・フィザリス,FD_Smile,,Active,
Words,Descriptive,その執事、アドルフ・バトラー,,FD_Smile,Inactive,Active
Words,Descriptive,2人が織りなすちょっとした冒険のお話です,,,Active,
Background,RinaRoom,,,,,
Words,Rina,本日も悪魔界は平和ですわね～,FD_Origin,,Active,
Words,Rina,今日も何事も起きなく平和な日常が送れそうですわ,FD_Smile,,,
Words,Rina,はぁ...,FD_Sad,,,
Words,Rina,...,,,,
Words,Rina,...退屈ですわ...,,,,
Words,Rina,退屈ですわ！！！！！,FD_Angry,,,
Words,Rina,ご令嬢とはなぜんこんな窮屈なものですの!,,,,
Words,Rina,変わらない部屋!!変わらないメイド!!変わらない食事!!,,,,
Words,Rina,何もかも飽きましたわ!,,,,
Words,Rina,幼い頃のワタシと今は違うというのに...,FD_Sad,,,
Words,Rina,アドルフの姿もないですし、またどこかお外の世界へ遊びに行ってるのかしら,FD_Origin,,,
Words,Rina,...お外の世界？,,,,
Words,Rina,お外の世界に出てみたら何か変わるかしら？,,,,
Words,Rina,アドルフ!!,,,,
Words,Adolf,はい、お呼びでしょうかお嬢様,,FD_Smile,,Active
Words,Adolf,アドルフはかつて人間界の「ちきゅう」というところに行ったことがあるそうですわね,,FD_Origin,,
Words,Adolf,...？\はい、それが何か？,,,,
Words,Rina,ちきゅうって一体どのような場所ですの？,,,,
Words,Adolf,そうですね...私がいつも赴くのは父の母国でもある「日本」という国なのですがとてもいい国ですよ,,,,
Words,Adolf,この国は国民が皆優しいだけではなく、食事もとても美味しく美しい国です,,FD_Smile,,
Words,Adolf,更に日本では地球上でも数国しか存在しない「四季」というものがあります,,FD_Origin,,
Words,Adolf,四季には「春」「夏」「秋」「冬」と4つのあるのですがその中でも現在の日本の季節は...「秋」となっておりますので\各地域の随所に「紅葉」というものが見れます,,FD_Smile,,
Words,Rina,ふぅーん...,,FD_Origin,,
Words,Rina,...,,,,
Words,Rina,ワタシも連れていきなさい,,,,
Words,Adolf,...は？,,FD_Surprised,,
Words,Rina,ワタシも連れていきなさいと言っているのですわアドルフ！日本へ！,FD_Origin,,,
Words,Adolf,それはなりません！お嬢様！,,FD_Embarrassment,,
Words,Rina,何故ですの？私は前とは違って元気ですわよ？,FD_Sad,,,
Words,Adolf,そういう問題ではないのです！お嬢様が日光に当たってはならないのです！\夜なら話は別ですが...,,FD_Embarrassment,,
Words,Rina,そんなこと知ったこっちゃないですわ、つべこべ言わずに連れていきなさい！,FD_Angry,,,
Words,Adolf,お嬢様の身にとって本当に危険な事なんです！お止め下さい！,,,,
Words,Rina,アドルフが日光を遮るような服を下さればよろしいのですわ！,FD_Origin,,,
Words,Adolf,(全くお嬢様の好奇心も考えものだな...),,FD_Embarrassment,,
Words,Adolf,(どうにかしてお嬢様の人間界に対する関心を反らして遠征を阻止しなければ...),,,,
Words,Rina,つべこべ言いますとアドルフの大切になさっているお酒、全て割って回りますわよ,,,,
Words,Rina,凄い大切になさってましたわね、よろしいんですの？,FD_Smile,FD_Surprised,,
Words,Adolf,それもなりません！！！お嬢様！！！,,FD_Embarrassment,,
Words,Rina,それじゃあ仕方ありませんわね、全部1人で日本への遠征を成し遂げてきますわ\ワタシがどうなっても知りませんわよ？,FD_Origin,,,
Words,Adolf,...っ！！\はぁ...お嬢様には負けますね,,,,
Words,Adolf,分かりました、今回は折れましょう,,,,
Words,Rina,決まりですわね！さぁ行きましょう！,FD_Smile,,,
Words,Adolf,ですが条件があります,,FD_Origin,,
Words,Rina,条件...?,FD_Sad,,,
Words,Adolf,遠征は大事を取って1日だけです,,,,
Words,Rina,む～...仕方ありませんわね、分かりましたわ,FD_Angry,,,
Words,Adolf,分かりましたでは直ちに出発の準備を致します,FD_Origin,,,
Words,Rina,行きますわよアドルフ!日本へ!,FD_Smile,,,
Background,Park,,,,,
Words,Rina,おおおぉ...!ここが日本という場所なのですね!,PC_Interesting,PC_Embarrassment,Active,Active
Words,Adolf,(お嬢様嬉しそうだな...そんなに今日の遠征を楽しみにしていたのか...),,PC_Origin,,
Words,Rina,アドルフ御覧なさい!\あそこに地面に這いよる小さな生き物がいますわよ!,PC_Smile,,,
Words,Adolf,あれはコオロギですね夕方になると翅を擦りあわせて\美しい音色で鳴く生き物で...,PC_Origin,,,
Words,Rina,アドルフ御覧なさい！\あちらに様々な模様をした葉が落ちていますわよ！！,PC_Interesting,,,
Words,Adolf,少し落ち着いて下さい！,PC_Sad,PC_Surprised,,
Words,Rina,しかし本当に綺麗な所ですわね！\ここは日本のなんという場所ですの？,PC_Origin,,,
Words,Adolf,ここは日本の首都、東京にある日比谷公園という場所で...,,PC_Origin,,
Words,Rina,ひびや公園！なるほど!\アドルフが日本へ来たくなる気持ちも分かりますわ,PC_Smile,,,
Words,Rina,あ！あそこにも何か！ついて来なさい！アドルフ！,PC_Interesting,,,
Words,Adolf,あぁちょっと!,,PC_Embarrassment,Inactive,
Words,Rina,あれは何でしょう?何か催し物かしら？,PC_Origin,,Active,Inactive
Words,Adolf,あぁそういえば今日は収穫祭の日でしたね\この日は屋台が沢山立ち並ぶんですよ,,PC_Smile,,Active
Words,Rina,屋台！おおぉこれは！先程の落ちていた葉にそっくりですわ！,PC_Interesting,,,
Words,Mr,いらっしゃい!これは紅葉饅頭っていうんだよお嬢ちゃん\おひとつ試しにどうだい?,PC_Origin,PC_Origin,,
Words,Rina,いいんですの!?いただきますわ!,PC_Interesting,,,
Words,Rina,(あむあむあむあむ...),PC_Origin,,,
Words,Rina,ん～!!とても美味ですわ!!!,PC_Smile,,,
Words,Mr,喜んでもらえて嬉しいよ!そこのお隣にいる彼氏さんもおひとつどう?,,,,
Words,Adolf,(彼氏さん!?)いいんですか?すみません頂きます,,PC_Smile,,
Words,Rina,んん~!!公園というものは本当に素晴らしい所ですわね!!,,PC_Origin,,
Words,Adolf,お気に召したようで何よりです,,PC_Smile,,
Words,Rina,手当たり次第全部回るわよ!!,PC_SmugFace,,,
Words,Adolf,え？,,PC_Embarrassment,,
Words,Rina,ついてきなさい!アドルフ!,PC_Smile,,,
Scene,Main1,,,,,