Background,RyokanFront,,,,,
Words,Descriptive,かくして旅館についたリナとアドルフ,PC_Origin,PC_Origin,Active,Active
Words,Landlady,…以上で本日ご宿泊されるのは鬼灯様2名でよろしいですか？,,,,
Words,Adolf,はい、大丈夫です,,,,
Words,Landlady,承知致しました\鬼灯様のお部屋はあちらの突き当たりを左に曲がって\2階の部屋で御座います,,,,
Words,Landlady,今からお部屋まで御案内致します,,,,
Background,RyokanHall,,,,,
Words,Rina,なんだかあの女性の方、アドルフに似ていますわね,PC_SmugFace,,Active,Active
Words,Adolf,え、それはどういう？,PC_Origin,PC_Surprised,,
Background,RyokanRoom,,,,,
Words,Landlady,こちらが本日ご用意させていただいたお部屋で御座います\もう少しで御夕飯の準備が整いますので今暫くお待ち下さい\本日はお疲れ様でした,,PC_Origin,Active,Active
Words,Descriptive,(ﾊﾞﾀﾝ),,,,
Words,Rina,やはり似てますわね…,PC_SmugFace,,,
Words,Adolf,？？,,PC_Embarrassment,,
Words,Rina,それより先程から何か音色が聞こえますわね\とても落ち着く音色ですわ...,PC_Origin,,,
Words,Adolf,...あぁこの音色はコオロギですね,,PC_Origin,,
Words,Rina,確か日本に来た時に見た生物でしたわよね？\こんなに綺麗な音色を響かせるのですね...,PC_SmugFace,,,
Words,Adolf,ですね...私もそう思います,PC_Origin,,,
Words,TwoPersons,...,,,,
Words,TwoPersons,風流ですわ…(だな...),,,,
Words,TwoPersons,あ,,PC_Surprised,,
Words,Descriptive,(ｺﾞｿｯ),,,Inactive,Inactive
Words,Landlady,お食事をお持ちしました,,,,
Words,Rina,おおおおお待っていましたわ！(ﾊﾞﾀﾝｯ),PC_Interesting,,Active,Active
Words,Adolf,お嬢様お行儀が悪いですよ,,PC_Embarrassment,,
Words,Rina,このお鍋にある白い液体はなんですの？\シチューではなさそうですわね,PC_SmugFace,PC_Origin,,
Words,Landlady,そちらは当旅館名物豆乳しゃぶ鍋に御座います,,,,
Words,Rina,豆乳しゃぶ鍋！\ネーミングだけで食欲をそそられますわ,PC_Interesting,,,
Words,Landlady,それではごゆっくりお食事をお楽しみくださいませ,,,Inactive,Inactive
Words,Descriptive,(ﾊﾞﾀﾝ),,,,
Words,Rina,さぁて！いただきますわよ！,PC_Smile,PC_Origin,Active,Active
Words,Adolf,えぇ、いただきましょう,,PC_Smile,,
Words,TwoPersons,いただきます！,,,,
Words,Rina,(あむあむあむ),PC_Origin,,,Inactive
Words,Rina,んんん美味しいですわ！,,,,
Words,Adolf,なるほどこれは...！,,PC_Surprised,,Active
Words,Descriptive,こうして今日起こった出来事、体験した事を語り明かした2人,PC_Smile,PC_Smile,,
Background,RyokanHall,,,,,
Words,Descriptive,暫くしてリナは入浴を済ませ、\遅れてアドルフも入浴を済ませ部屋に戻る最中...,,PC_Origin,,Active
Words,Adolf,(本当にお嬢様、今日の遠征を楽しみにされていたんだな...),,,,
Words,Adolf,(しかし明日もこの調子だと骨が折れるな、\折角骨休めに来てるというのに),,PC_Embarrassment,,
Words,Adolf,(まぁお嬢様が楽しめてるのならそれでも…),,PC_Origin,,
Background,RyokanRoom,,,,,
Words,Descriptive,(ｶﾞﾀｯ),,,,
Words,Adolf,只今戻りました,,PC_Smile,,Active
Words,Rina,ふふ戻ってきたわね！アドルフ！,PC_SmugFace,,Active,
Words,Adolf,お嬢様…どうなされました？,,PC_Origin,,
Words,Descriptive,そう言って差し出されたものは…,,,,
Words,Rina,今日はアドルフと初めて遠征出来てとても嬉しかったわ！,,,,
Words,Rina,(アドルフのお金ですけれども...)\『首都ばなな』一緒にいただきましょ！,PC_Smile,,,
Words,Adolf,お嬢様ァ…(感涙)\アドルフ...アドルフはァ...,,PC_Smile,,
Words,Rina,ちょっ！アドルフ！？\大丈夫ですか！？,PC_Sad,,,
Words,Descriptive,歓喜のあまり感動してしまったアドルフ,,,,
Words,Descriptive,そんな楽しかった1日もいよいよ終わりを迎えようとしています,,,,
Words,Rina,おおおこれが布団というものですか…！,PC_Interesting,PC_Origin,,
Words,Adolf,ベットは...ありませんでしたね,,PC_Embarrassment,,
Words,Rina,全然構いませんわ！,,,,
Words,Rina,そんなことよりアドルフ！今日は本当にありがとう！！,PC_Smile,PC_Surprised,,
Words,Adolf,いえいえ、私もお嬢様と巡る事が出来てとても楽しかったです,,PC_Origin,,
Words,Rina,今日はもう疲れましたわ！,PC_SmugFace,,,
Words,Rina,明日1日またお出掛けを堪能いたしますわよ！,PC_Smile,,,
Words,Adolf,え、お嬢様それは….,,,,
Words,Rina,おやすみなさい！アドルフ！,PC_Origin,PC_Surprised,,
Words,Rina,zzZ…zzZ…,,PC_Angry,Inactive,
Words,Adolf,…寝てしまわれた…,,PC_Embarrassment,,
Words,Adolf,...,,,,
Words,Adolf,(まぁもう1日ぐらい…いいか),,PC_Origin,,
Words,Adolf,おやすみなさい\お嬢様,,PC_Smile,,
Scene,GameClear,,,,,